# Assembly name:  EquCab2.0
# Organism name:  Equus caballus (horse)
# Infraspecific name:  breed=thoroughbred
# Isolate:  Twilight
# Sex:  female
# Taxid:          9796
# BioSample:      SAMN02953672
# BioProject:     PRJNA18661
# Submitter:      The Genome Assembly Team
# Date:           2007-10-29
# Synonyms:       equCab2	
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    AAWR02
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000002305.1
# RefSeq assembly accession: GCF_000002305.2
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000000165.1	GCF_000000165.1	Primary Assembly
## 	GCF_000215765.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
scaffold_807	unplaced-scaffold	na	na	AAWR02045264.1	=	NW_001875234.1	Primary Assembly	12011	na
scaffold_809	unplaced-scaffold	na	na	AAWR02045268.1	=	NW_001875256.1	Primary Assembly	12002	na
scaffold_810	unplaced-scaffold	na	na	AAWR02045269.1	=	NW_001875267.1	Primary Assembly	11987	na
scaffold_816	unplaced-scaffold	na	na	AAWR02045280.1	=	NW_001875333.1	Primary Assembly	11918	na
scaffold_817	unplaced-scaffold	na	na	AAWR02045281.1	=	NW_001875344.1	Primary Assembly	11868	na
scaffold_820	unplaced-scaffold	na	na	AAWR02045287.1	=	NW_001875377.1	Primary Assembly	11820	na
scaffold_822	unplaced-scaffold	na	na	AAWR02045290.1	=	NW_001875399.1	Primary Assembly	11806	na
scaffold_825	unplaced-scaffold	na	na	AAWR02045295.1	=	NW_001875432.1	Primary Assembly	11759	na
scaffold_827	unplaced-scaffold	na	na	AAWR02045298.1	=	NW_001875454.1	Primary Assembly	11718	na
scaffold_829	unplaced-scaffold	na	na	AAWR02045301.1	=	NW_001875476.1	Primary Assembly	11707	na
scaffold_831	unplaced-scaffold	na	na	AAWR02045304.1	=	NW_001875498.1	Primary Assembly	11684	na
scaffold_832	unplaced-scaffold	na	na	AAWR02045305.1	=	NW_001875509.1	Primary Assembly	11683	na
scaffold_833	unplaced-scaffold	na	na	AAWR02045306.1	=	NW_001875520.1	Primary Assembly	11683	na
scaffold_834	unplaced-scaffold	na	na	AAWR02045307.1	=	NW_001875531.1	Primary Assembly	11680	na
scaffold_835	unplaced-scaffold	na	na	AAWR02045308.1	=	NW_001875542.1	Primary Assembly	11656	na
scaffold_836	unplaced-scaffold	na	na	AAWR02045309.1	=	NW_001875553.1	Primary Assembly	11655	na
scaffold_837	unplaced-scaffold	na	na	AAWR02045310.1	=	NW_001875564.1	Primary Assembly	11653	na
scaffold_838	unplaced-scaffold	na	na	AAWR02045311.1	=	NW_001875575.1	Primary Assembly	11648	na
scaffold_842	unplaced-scaffold	na	na	AAWR02045320.1	=	NW_001875619.1	Primary Assembly	11607	na
scaffold_843	unplaced-scaffold	na	na	AAWR02045321.1	=	NW_001875630.1	Primary Assembly	11596	na
scaffold_849	unplaced-scaffold	na	na	AAWR02045332.1	=	NW_001875697.1	Primary Assembly	11477	na
scaffold_851	unplaced-scaffold	na	na	AAWR02045336.1	=	NW_001875719.1	Primary Assembly	11451	na
scaffold_854	unplaced-scaffold	na	na	AAWR02045341.1	=	NW_001875752.1	Primary Assembly	11406	na
scaffold_855	unplaced-scaffold	na	na	AAWR02045342.1	=	NW_001875763.1	Primary Assembly	11370	na
scaffold_857	unplaced-scaffold	na	na	AAWR02045345.1	=	NW_001875785.1	Primary Assembly	11341	na
scaffold_861	unplaced-scaffold	na	na	AAWR02045353.1	=	NW_001875830.1	Primary Assembly	11288	na
scaffold_863	unplaced-scaffold	na	na	AAWR02045357.1	=	NW_001875852.1	Primary Assembly	11263	na
scaffold_866	unplaced-scaffold	na	na	AAWR02045364.1	=	NW_001875885.1	Primary Assembly	11250	na
scaffold_867	unplaced-scaffold	na	na	AAWR02045365.1	=	NW_001875896.1	Primary Assembly	11244	na
scaffold_869	unplaced-scaffold	na	na	AAWR02045368.1	=	NW_001875919.1	Primary Assembly	11228	na
scaffold_871	unplaced-scaffold	na	na	AAWR02045371.1	=	NW_001875941.1	Primary Assembly	11190	na
scaffold_872	unplaced-scaffold	na	na	AAWR02045372.1	=	NW_001875952.1	Primary Assembly	11177	na
scaffold_874	unplaced-scaffold	na	na	AAWR02045375.1	=	NW_001875974.1	Primary Assembly	11149	na
scaffold_876	unplaced-scaffold	na	na	AAWR02045380.1	=	NW_001875996.1	Primary Assembly	11099	na
scaffold_880	unplaced-scaffold	na	na	AAWR02045389.1	=	NW_001876041.1	Primary Assembly	11068	na
scaffold_885	unplaced-scaffold	na	na	AAWR02045402.1	=	NW_001876096.1	Primary Assembly	11031	na
scaffold_886	unplaced-scaffold	na	na	AAWR02045403.1	=	NW_001876107.1	Primary Assembly	11030	na
scaffold_888	unplaced-scaffold	na	na	AAWR02045406.1	=	NW_001876129.1	Primary Assembly	11010	na
scaffold_889	unplaced-scaffold	na	na	AAWR02045407.1	=	NW_001876141.1	Primary Assembly	11008	na
scaffold_890	unplaced-scaffold	na	na	AAWR02045408.1	=	NW_001876152.1	Primary Assembly	11007	na
scaffold_892	unplaced-scaffold	na	na	AAWR02045411.1	=	NW_001876174.1	Primary Assembly	10988	na
scaffold_893	unplaced-scaffold	na	na	AAWR02045412.1	=	NW_001876185.1	Primary Assembly	10970	na
scaffold_896	unplaced-scaffold	na	na	AAWR02045417.1	=	NW_001876218.1	Primary Assembly	10930	na
scaffold_897	unplaced-scaffold	na	na	AAWR02045418.1	=	NW_001876229.1	Primary Assembly	10929	na
scaffold_898	unplaced-scaffold	na	na	AAWR02045419.1	=	NW_001876240.1	Primary Assembly	10917	na
scaffold_900	unplaced-scaffold	na	na	AAWR02045422.1	=	NW_001876263.1	Primary Assembly	10908	na
scaffold_901	unplaced-scaffold	na	na	AAWR02045423.1	=	NW_001876274.1	Primary Assembly	10906	na
scaffold_902	unplaced-scaffold	na	na	AAWR02045424.1	=	NW_001876285.1	Primary Assembly	10901	na
scaffold_903	unplaced-scaffold	na	na	AAWR02045425.1	=	NW_001876296.1	Primary Assembly	10901	na
scaffold_904	unplaced-scaffold	na	na	AAWR02045426.1	=	NW_001876307.1	Primary Assembly	10895	na
scaffold_905	unplaced-scaffold	na	na	AAWR02045427.1	=	NW_001876318.1	Primary Assembly	10889	na
scaffold_906	unplaced-scaffold	na	na	AAWR02045428.1	=	NW_001876329.1	Primary Assembly	10885	na
scaffold_908	unplaced-scaffold	na	na	AAWR02045431.1	=	NW_001876351.1	Primary Assembly	10881	na
scaffold_909	unplaced-scaffold	na	na	AAWR02045432.1	=	NW_001876363.1	Primary Assembly	10862	na
scaffold_915	unplaced-scaffold	na	na	AAWR02045445.1	=	NW_001876429.1	Primary Assembly	10757	na
scaffold_916	unplaced-scaffold	na	na	AAWR02045446.1	=	NW_001876440.1	Primary Assembly	10750	na
scaffold_920	unplaced-scaffold	na	na	AAWR02045457.1	=	NW_001876485.1	Primary Assembly	10710	na
scaffold_921	unplaced-scaffold	na	na	AAWR02045458.1	=	NW_001876496.1	Primary Assembly	10641	na
scaffold_922	unplaced-scaffold	na	na	AAWR02045459.1	=	NW_001876507.1	Primary Assembly	10638	na
scaffold_925	unplaced-scaffold	na	na	AAWR02045467.1	=	NW_001876540.1	Primary Assembly	10617	na
scaffold_927	unplaced-scaffold	na	na	AAWR02045472.1	=	NW_001876562.1	Primary Assembly	10609	na
scaffold_930	unplaced-scaffold	na	na	AAWR02045480.1	=	NW_001876596.1	Primary Assembly	10585	na
scaffold_931	unplaced-scaffold	na	na	AAWR02045481.1	=	NW_001876607.1	Primary Assembly	10583	na
scaffold_932	unplaced-scaffold	na	na	AAWR02045482.1	=	NW_001876618.1	Primary Assembly	10583	na
scaffold_934	unplaced-scaffold	na	na	AAWR02045485.1	=	NW_001876640.1	Primary Assembly	10565	na
scaffold_935	unplaced-scaffold	na	na	AAWR02045486.1	=	NW_001876651.1	Primary Assembly	10560	na
scaffold_936	unplaced-scaffold	na	na	AAWR02045487.1	=	NW_001876662.1	Primary Assembly	10542	na
scaffold_937	unplaced-scaffold	na	na	AAWR02045488.1	=	NW_001876673.1	Primary Assembly	10538	na
scaffold_940	unplaced-scaffold	na	na	AAWR02045495.1	=	NW_001876707.1	Primary Assembly	10506	na
scaffold_943	unplaced-scaffold	na	na	AAWR02045500.1	=	NW_001876740.1	Primary Assembly	10489	na
scaffold_945	unplaced-scaffold	na	na	AAWR02045503.1	=	NW_001876762.1	Primary Assembly	10455	na
scaffold_946	unplaced-scaffold	na	na	AAWR02045504.1	=	NW_001876773.1	Primary Assembly	10429	na
scaffold_948	unplaced-scaffold	na	na	AAWR02045508.1	=	NW_001876795.1	Primary Assembly	10391	na
scaffold_949	unplaced-scaffold	na	na	AAWR02045509.1	=	NW_001876807.1	Primary Assembly	10370	na
scaffold_951	unplaced-scaffold	na	na	AAWR02045512.1	=	NW_001876829.1	Primary Assembly	10334	na
scaffold_952	unplaced-scaffold	na	na	AAWR02045513.1	=	NW_001876840.1	Primary Assembly	10333	na
scaffold_953	unplaced-scaffold	na	na	AAWR02045514.1	=	NW_001876851.1	Primary Assembly	10328	na
scaffold_954	unplaced-scaffold	na	na	AAWR02045515.1	=	NW_001876862.1	Primary Assembly	10324	na
scaffold_955	unplaced-scaffold	na	na	AAWR02045516.1	=	NW_001876873.1	Primary Assembly	10322	na
scaffold_957	unplaced-scaffold	na	na	AAWR02045522.1	=	NW_001876895.1	Primary Assembly	10287	na
scaffold_958	unplaced-scaffold	na	na	AAWR02045523.1	=	NW_001876906.1	Primary Assembly	10276	na
scaffold_961	unplaced-scaffold	na	na	AAWR02045528.1	=	NW_001876940.1	Primary Assembly	10264	na
scaffold_964	unplaced-scaffold	na	na	AAWR02045533.1	=	NW_001876973.1	Primary Assembly	10234	na
scaffold_966	unplaced-scaffold	na	na	AAWR02045536.1	=	NW_001876995.1	Primary Assembly	10230	na
scaffold_969	unplaced-scaffold	na	na	AAWR02045542.1	=	NW_001877007.1	Primary Assembly	10183	na
scaffold_970	unplaced-scaffold	na	na	AAWR02045543.1	=	NW_001877008.1	Primary Assembly	10163	na
scaffold_971	unplaced-scaffold	na	na	AAWR02045544.1	=	NW_001877009.1	Primary Assembly	10158	na
scaffold_973	unplaced-scaffold	na	na	AAWR02045548.1	=	NW_001877011.1	Primary Assembly	10109	na
scaffold_975	unplaced-scaffold	na	na	AAWR02045551.1	=	NW_001877013.1	Primary Assembly	10107	na
scaffold_976	unplaced-scaffold	na	na	AAWR02045552.1	=	NW_001877014.1	Primary Assembly	10105	na
scaffold_977	unplaced-scaffold	na	na	AAWR02045553.1	=	NW_001877015.1	Primary Assembly	10105	na
scaffold_979	unplaced-scaffold	na	na	AAWR02045556.1	=	NW_001877018.1	Primary Assembly	10025	na
scaffold_980	unplaced-scaffold	na	na	AAWR02045557.1	=	NW_001877019.1	Primary Assembly	10019	na
scaffold_982	unplaced-scaffold	na	na	AAWR02045562.1	=	NW_001877021.1	Primary Assembly	10007	na
scaffold_983	unplaced-scaffold	na	na	AAWR02045563.1	=	NW_001877022.1	Primary Assembly	10002	na
scaffold_984	unplaced-scaffold	na	na	AAWR02045564.1	=	NW_001877023.1	Primary Assembly	9996	na
scaffold_985	unplaced-scaffold	na	na	AAWR02045565.1	=	NW_001877024.1	Primary Assembly	9982	na
scaffold_986	unplaced-scaffold	na	na	AAWR02045566.1	=	NW_001877025.1	Primary Assembly	9978	na
scaffold_987	unplaced-scaffold	na	na	AAWR02045567.1	=	NW_001877026.1	Primary Assembly	9967	na
scaffold_990	unplaced-scaffold	na	na	AAWR02045572.1	=	NW_001877030.1	Primary Assembly	9952	na
scaffold_991	unplaced-scaffold	na	na	AAWR02045573.1	=	NW_001877031.1	Primary Assembly	9950	na
scaffold_997	unplaced-scaffold	na	na	AAWR02045587.1	=	NW_001877037.1	Primary Assembly	9868	na
scaffold_998	unplaced-scaffold	na	na	AAWR02045588.1	=	NW_001877038.1	Primary Assembly	9868	na
scaffold_999	unplaced-scaffold	na	na	AAWR02045589.1	=	NW_001867436.1	Primary Assembly	9867	na
scaffold_1002	unplaced-scaffold	na	na	AAWR02045594.1	=	NW_001867439.1	Primary Assembly	9806	na
scaffold_1003	unplaced-scaffold	na	na	AAWR02045595.1	=	NW_001867440.1	Primary Assembly	9802	na
scaffold_1004	unplaced-scaffold	na	na	AAWR02045596.1	=	NW_001867441.1	Primary Assembly	9799	na
scaffold_1005	unplaced-scaffold	na	na	AAWR02045597.1	=	NW_001867442.1	Primary Assembly	9798	na
scaffold_1008	unplaced-scaffold	na	na	AAWR02045602.1	=	NW_001867445.1	Primary Assembly	9736	na
scaffold_1009	unplaced-scaffold	na	na	AAWR02045603.1	=	NW_001867447.1	Primary Assembly	9734	na
scaffold_1010	unplaced-scaffold	na	na	AAWR02045604.1	=	NW_001867448.1	Primary Assembly	9731	na
scaffold_1011	unplaced-scaffold	na	na	AAWR02045605.1	=	NW_001867449.1	Primary Assembly	9726	na
scaffold_1012	unplaced-scaffold	na	na	AAWR02045606.1	=	NW_001867450.1	Primary Assembly	9722	na
scaffold_1013	unplaced-scaffold	na	na	AAWR02045607.1	=	NW_001867451.1	Primary Assembly	9700	na
scaffold_1015	unplaced-scaffold	na	na	AAWR02045611.1	=	NW_001867453.1	Primary Assembly	9694	na
scaffold_1016	unplaced-scaffold	na	na	AAWR02045612.1	=	NW_001867454.1	Primary Assembly	9689	na
scaffold_1017	unplaced-scaffold	na	na	AAWR02045613.1	=	NW_001867455.1	Primary Assembly	9675	na
scaffold_1018	unplaced-scaffold	na	na	AAWR02045614.1	=	NW_001867456.1	Primary Assembly	9644	na
scaffold_1019	unplaced-scaffold	na	na	AAWR02045615.1	=	NW_001867458.1	Primary Assembly	9642	na
scaffold_1021	unplaced-scaffold	na	na	AAWR02045618.1	=	NW_001867460.1	Primary Assembly	9636	na
scaffold_1022	unplaced-scaffold	na	na	AAWR02045619.1	=	NW_001867461.1	Primary Assembly	9632	na
scaffold_1024	unplaced-scaffold	na	na	AAWR02045622.1	=	NW_001867463.1	Primary Assembly	9620	na
scaffold_1026	unplaced-scaffold	na	na	AAWR02045625.1	=	NW_001867465.1	Primary Assembly	9598	na
scaffold_1027	unplaced-scaffold	na	na	AAWR02045626.1	=	NW_001867466.1	Primary Assembly	9590	na
scaffold_1028	unplaced-scaffold	na	na	AAWR02045627.1	=	NW_001867467.1	Primary Assembly	9585	na
scaffold_1029	unplaced-scaffold	na	na	AAWR02045628.1	=	NW_001867469.1	Primary Assembly	9570	na
scaffold_1031	unplaced-scaffold	na	na	AAWR02045631.1	=	NW_001867471.1	Primary Assembly	9513	na
scaffold_1032	unplaced-scaffold	na	na	AAWR02045632.1	=	NW_001867472.1	Primary Assembly	9507	na
scaffold_1034	unplaced-scaffold	na	na	AAWR02045637.1	=	NW_001867474.1	Primary Assembly	9503	na
scaffold_1036	unplaced-scaffold	na	na	AAWR02045642.1	=	NW_001867476.1	Primary Assembly	9489	na
scaffold_1038	unplaced-scaffold	na	na	AAWR02045645.1	=	NW_001867478.1	Primary Assembly	9482	na
scaffold_1039	unplaced-scaffold	na	na	AAWR02045646.1	=	NW_001867480.1	Primary Assembly	9445	na
scaffold_1040	unplaced-scaffold	na	na	AAWR02045647.1	=	NW_001867481.1	Primary Assembly	9444	na
scaffold_1041	unplaced-scaffold	na	na	AAWR02045648.1	=	NW_001867482.1	Primary Assembly	9435	na
scaffold_1046	unplaced-scaffold	na	na	AAWR02045657.1	=	NW_001867487.1	Primary Assembly	9396	na
scaffold_1047	unplaced-scaffold	na	na	AAWR02045658.1	=	NW_001867488.1	Primary Assembly	9384	na
scaffold_1048	unplaced-scaffold	na	na	AAWR02045659.1	=	NW_001867489.1	Primary Assembly	9375	na
scaffold_1050	unplaced-scaffold	na	na	AAWR02045663.1	=	NW_001867492.1	Primary Assembly	9333	na
scaffold_1051	unplaced-scaffold	na	na	AAWR02045664.1	=	NW_001867493.1	Primary Assembly	9329	na
scaffold_1053	unplaced-scaffold	na	na	AAWR02045669.1	=	NW_001867495.1	Primary Assembly	9314	na
scaffold_1054	unplaced-scaffold	na	na	AAWR02045670.1	=	NW_001867496.1	Primary Assembly	9309	na
scaffold_1055	unplaced-scaffold	na	na	AAWR02045671.1	=	NW_001867497.1	Primary Assembly	9282	na
scaffold_1056	unplaced-scaffold	na	na	AAWR02045672.1	=	NW_001867498.1	Primary Assembly	9276	na
scaffold_1057	unplaced-scaffold	na	na	AAWR02045673.1	=	NW_001867499.1	Primary Assembly	9265	na
scaffold_1059	unplaced-scaffold	na	na	AAWR02045677.1	=	NW_001867502.1	Primary Assembly	9255	na
scaffold_1060	unplaced-scaffold	na	na	AAWR02045678.1	=	NW_001867503.1	Primary Assembly	9250	na
scaffold_1061	unplaced-scaffold	na	na	AAWR02045679.1	=	NW_001867504.1	Primary Assembly	9247	na
scaffold_1062	unplaced-scaffold	na	na	AAWR02045680.1	=	NW_001867505.1	Primary Assembly	9238	na
scaffold_1064	unplaced-scaffold	na	na	AAWR02045685.1	=	NW_001867507.1	Primary Assembly	9218	na
scaffold_1068	unplaced-scaffold	na	na	AAWR02045692.1	=	NW_001867511.1	Primary Assembly	9192	na
scaffold_1069	unplaced-scaffold	na	na	AAWR02045693.1	=	NW_001867513.1	Primary Assembly	9189	na
scaffold_1071	unplaced-scaffold	na	na	AAWR02045696.1	=	NW_001867515.1	Primary Assembly	9183	na
scaffold_1072	unplaced-scaffold	na	na	AAWR02045697.1	=	NW_001867516.1	Primary Assembly	9172	na
scaffold_1073	unplaced-scaffold	na	na	AAWR02045698.1	=	NW_001867517.1	Primary Assembly	9165	na
scaffold_1075	unplaced-scaffold	na	na	AAWR02045701.1	=	NW_001867519.1	Primary Assembly	9160	na
scaffold_1076	unplaced-scaffold	na	na	AAWR02045702.1	=	NW_001867520.1	Primary Assembly	9155	na
scaffold_1077	unplaced-scaffold	na	na	AAWR02045703.1	=	NW_001867521.1	Primary Assembly	9153	na
scaffold_1079	unplaced-scaffold	na	na	AAWR02045706.1	=	NW_001867524.1	Primary Assembly	9139	na
scaffold_1080	unplaced-scaffold	na	na	AAWR02045707.1	=	NW_001867525.1	Primary Assembly	9133	na
scaffold_1081	unplaced-scaffold	na	na	AAWR02045708.1	=	NW_001867526.1	Primary Assembly	9129	na
scaffold_1082	unplaced-scaffold	na	na	AAWR02045709.1	=	NW_001867527.1	Primary Assembly	9123	na
scaffold_1084	unplaced-scaffold	na	na	AAWR02045713.1	=	NW_001867529.1	Primary Assembly	9119	na
scaffold_1085	unplaced-scaffold	na	na	AAWR02045714.1	=	NW_001867530.1	Primary Assembly	9105	na
scaffold_1086	unplaced-scaffold	na	na	AAWR02045715.1	=	NW_001867531.1	Primary Assembly	9084	na
scaffold_1088	unplaced-scaffold	na	na	AAWR02045720.1	=	NW_001867533.1	Primary Assembly	9070	na
scaffold_1089	unplaced-scaffold	na	na	AAWR02045721.1	=	NW_001867535.1	Primary Assembly	9063	na
scaffold_1090	unplaced-scaffold	na	na	AAWR02045722.1	=	NW_001867536.1	Primary Assembly	9060	na
scaffold_1091	unplaced-scaffold	na	na	AAWR02045723.1	=	NW_001867537.1	Primary Assembly	9058	na
scaffold_1093	unplaced-scaffold	na	na	AAWR02045726.1	=	NW_001867539.1	Primary Assembly	9047	na
scaffold_1094	unplaced-scaffold	na	na	AAWR02045727.1	=	NW_001867540.1	Primary Assembly	9045	na
scaffold_1096	unplaced-scaffold	na	na	AAWR02045730.1	=	NW_001867542.1	Primary Assembly	9040	na
scaffold_1097	unplaced-scaffold	na	na	AAWR02045731.1	=	NW_001867543.1	Primary Assembly	9033	na
scaffold_1098	unplaced-scaffold	na	na	AAWR02045732.1	=	NW_001867544.1	Primary Assembly	9033	na
scaffold_1100	unplaced-scaffold	na	na	AAWR02045736.1	=	NW_001867547.1	Primary Assembly	9023	na
scaffold_1101	unplaced-scaffold	na	na	AAWR02045737.1	=	NW_001867548.1	Primary Assembly	9022	na
scaffold_1103	unplaced-scaffold	na	na	AAWR02045740.1	=	NW_001867550.1	Primary Assembly	9014	na
scaffold_1108	unplaced-scaffold	na	na	AAWR02045752.1	=	NW_001867555.1	Primary Assembly	8979	na
scaffold_1109	unplaced-scaffold	na	na	AAWR02045753.1	=	NW_001867557.1	Primary Assembly	8974	na
scaffold_1112	unplaced-scaffold	na	na	AAWR02045759.1	=	NW_001867560.1	Primary Assembly	8954	na
scaffold_1114	unplaced-scaffold	na	na	AAWR02045762.1	=	NW_001867562.1	Primary Assembly	8951	na
scaffold_1116	unplaced-scaffold	na	na	AAWR02045765.1	=	NW_001867564.1	Primary Assembly	8939	na
scaffold_1117	unplaced-scaffold	na	na	AAWR02045766.1	=	NW_001867565.1	Primary Assembly	8934	na
scaffold_1118	unplaced-scaffold	na	na	AAWR02045767.1	=	NW_001867566.1	Primary Assembly	8932	na
scaffold_1119	unplaced-scaffold	na	na	AAWR02045768.1	=	NW_001867568.1	Primary Assembly	8930	na
scaffold_1120	unplaced-scaffold	na	na	AAWR02045769.1	=	NW_001867569.1	Primary Assembly	8914	na
scaffold_1122	unplaced-scaffold	na	na	AAWR02045774.1	=	NW_001867571.1	Primary Assembly	8909	na
scaffold_1124	unplaced-scaffold	na	na	AAWR02045777.1	=	NW_001867573.1	Primary Assembly	8895	na
scaffold_1125	unplaced-scaffold	na	na	AAWR02045778.1	=	NW_001867574.1	Primary Assembly	8887	na
scaffold_1126	unplaced-scaffold	na	na	AAWR02045779.1	=	NW_001867575.1	Primary Assembly	8878	na
scaffold_1127	unplaced-scaffold	na	na	AAWR02045780.1	=	NW_001867576.1	Primary Assembly	8875	na
scaffold_1128	unplaced-scaffold	na	na	AAWR02045781.1	=	NW_001867577.1	Primary Assembly	8861	na
scaffold_1129	unplaced-scaffold	na	na	AAWR02045782.1	=	NW_001867579.1	Primary Assembly	8861	na
scaffold_1130	unplaced-scaffold	na	na	AAWR02045783.1	=	NW_001867580.1	Primary Assembly	8860	na
scaffold_1132	unplaced-scaffold	na	na	AAWR02045787.1	=	NW_001867582.1	Primary Assembly	8855	na
scaffold_1133	unplaced-scaffold	na	na	AAWR02045788.1	=	NW_001867583.1	Primary Assembly	8851	na
scaffold_1134	unplaced-scaffold	na	na	AAWR02045789.1	=	NW_001867584.1	Primary Assembly	8848	na
scaffold_1135	unplaced-scaffold	na	na	AAWR02045790.1	=	NW_001867585.1	Primary Assembly	8840	na
scaffold_1136	unplaced-scaffold	na	na	AAWR02045791.1	=	NW_001867586.1	Primary Assembly	8836	na
scaffold_1138	unplaced-scaffold	na	na	AAWR02045794.1	=	NW_001867588.1	Primary Assembly	8826	na
scaffold_1139	unplaced-scaffold	na	na	AAWR02045795.1	=	NW_001867590.1	Primary Assembly	8819	na
scaffold_1141	unplaced-scaffold	na	na	AAWR02045798.1	=	NW_001867592.1	Primary Assembly	8790	na
scaffold_1142	unplaced-scaffold	na	na	AAWR02045799.1	=	NW_001867593.1	Primary Assembly	8786	na
scaffold_1144	unplaced-scaffold	na	na	AAWR02045802.1	=	NW_001867595.1	Primary Assembly	8767	na
scaffold_1145	unplaced-scaffold	na	na	AAWR02045803.1	=	NW_001867596.1	Primary Assembly	8759	na
scaffold_1148	unplaced-scaffold	na	na	AAWR02045808.1	=	NW_001867599.1	Primary Assembly	8741	na
scaffold_1150	unplaced-scaffold	na	na	AAWR02045811.1	=	NW_001867602.1	Primary Assembly	8736	na
scaffold_1151	unplaced-scaffold	na	na	AAWR02045812.1	=	NW_001867603.1	Primary Assembly	8735	na
scaffold_1152	unplaced-scaffold	na	na	AAWR02045813.1	=	NW_001867604.1	Primary Assembly	8734	na
scaffold_1153	unplaced-scaffold	na	na	AAWR02045814.1	=	NW_001867605.1	Primary Assembly	8726	na
scaffold_1154	unplaced-scaffold	na	na	AAWR02045815.1	=	NW_001867606.1	Primary Assembly	8720	na
scaffold_1155	unplaced-scaffold	na	na	AAWR02045816.1	=	NW_001867607.1	Primary Assembly	8720	na
scaffold_1157	unplaced-scaffold	na	na	AAWR02045819.1	=	NW_001867609.1	Primary Assembly	8715	na
scaffold_1158	unplaced-scaffold	na	na	AAWR02045820.1	=	NW_001867610.1	Primary Assembly	8713	na
scaffold_1160	unplaced-scaffold	na	na	AAWR02045826.1	=	NW_001867613.1	Primary Assembly	8712	na
scaffold_1163	unplaced-scaffold	na	na	AAWR02045832.1	=	NW_001867616.1	Primary Assembly	8705	na
scaffold_1165	unplaced-scaffold	na	na	AAWR02045835.1	=	NW_001867618.1	Primary Assembly	8702	na
scaffold_1166	unplaced-scaffold	na	na	AAWR02045836.1	=	NW_001867619.1	Primary Assembly	8694	na
scaffold_1167	unplaced-scaffold	na	na	AAWR02045837.1	=	NW_001867620.1	Primary Assembly	8685	na
scaffold_1168	unplaced-scaffold	na	na	AAWR02045838.1	=	NW_001867621.1	Primary Assembly	8677	na
scaffold_1169	unplaced-scaffold	na	na	AAWR02045839.1	=	NW_001867623.1	Primary Assembly	8663	na
scaffold_1170	unplaced-scaffold	na	na	AAWR02045840.1	=	NW_001867624.1	Primary Assembly	8654	na
scaffold_1171	unplaced-scaffold	na	na	AAWR02045841.1	=	NW_001867625.1	Primary Assembly	8650	na
scaffold_1172	unplaced-scaffold	na	na	AAWR02045842.1	=	NW_001867626.1	Primary Assembly	8644	na
scaffold_1173	unplaced-scaffold	na	na	AAWR02045843.1	=	NW_001867627.1	Primary Assembly	8636	na
scaffold_1175	unplaced-scaffold	na	na	AAWR02045847.1	=	NW_001867629.1	Primary Assembly	8631	na
scaffold_1176	unplaced-scaffold	na	na	AAWR02045848.1	=	NW_001867630.1	Primary Assembly	8607	na
scaffold_1177	unplaced-scaffold	na	na	AAWR02045849.1	=	NW_001867631.1	Primary Assembly	8598	na
scaffold_1179	unplaced-scaffold	na	na	AAWR02045853.1	=	NW_001867634.1	Primary Assembly	8584	na
scaffold_1180	unplaced-scaffold	na	na	AAWR02045854.1	=	NW_001867635.1	Primary Assembly	8570	na
scaffold_1181	unplaced-scaffold	na	na	AAWR02045855.1	=	NW_001867636.1	Primary Assembly	8566	na
scaffold_1182	unplaced-scaffold	na	na	AAWR02045856.1	=	NW_001867637.1	Primary Assembly	8565	na
scaffold_1184	unplaced-scaffold	na	na	AAWR02045861.1	=	NW_001867639.1	Primary Assembly	8557	na
scaffold_1185	unplaced-scaffold	na	na	AAWR02045862.1	=	NW_001867640.1	Primary Assembly	8548	na
scaffold_1186	unplaced-scaffold	na	na	AAWR02045863.1	=	NW_001867641.1	Primary Assembly	8543	na
